UniqueName,imgURL
techsummerjersey-30652,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-01_2.jpg
techsummerjersey-30652,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-04_2.jpg
techsummerjersey-30652,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-02_2.jpg
techsummerjersey-30652,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-05_2.jpg
techsummerjersey-30652,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-03_2.jpg
techsummerjersey-30652,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/w/o/women_tech_pro-front_1.jpg
bmx-downhill-jersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/f/i/file_1_13.jpg
bmx-downhill-jersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/f/i/file_64_10.jpg
bmx-downhill-jersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/o/downhill-jersey.jpg
apexprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/a/p/apex_pro_jersey_front.jpg
apexprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/s/s/ss-0126-15_v10_apex_-_pro_jersey.pdf_back.jpg
apexprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06773.jpg
apexprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06797.jpg
apexprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06761.jpg
