Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
custom-distance-long-sleeve-skinsuit,Distance Long Sleeve Skinsuit,"<p>Same as our regular skinsuit but with added pockets on the rear for storage. Perfect for criteriums or kermesse racing</p>
<h4>Features:</h4>
<ul>
<li>unlimited number of colors</li>
<li>Rear Pockets</li>
<li>Available with 4 way stretch specific chamios</li>
<li>4-Way&reg; stretch chamois&nbsp;</li>
<li>no extra charge for colored shorts</li>
<li>no extra charge for back panel printing</li>
<li>superb leg grippers</li>
<li>lycra colors available in black, red, blue, navy, green, gray&nbsp;and orange</li>
</ul>
<p><strong><br /></strong></p>",ChampSys,Skin Suit,"Custom, Cycling, Bottoms, Skin Suit",TRUE,Title,Default Title,,,,,,0,,1,deny,manual,189,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,
custom-distance-long-sleeve-skinsuit,,,,,,,,,,,,,,,,,,,,,,,,http://www.champ-sys.com.au/media/catalog/product/f/i/file_58_74.jpg,,,,,,,,,,,,,,,,,,,,,
custom-distance-long-sleeve-skinsuit,,,,,,,,,,,,,,,,,,,,,,,,http://www.champ-sys.com.au/media/catalog/product/f/i/file_29_114_2_1.jpg,,,,,,,,,,,,,,,,,,,,,
custom-distance-short-sleeve-skinsuit,Distance Short Sleeve Skinsuit,"<p>Same as our regular skinsuit but with added pockets on the rear for storage. Perfect for criteriums or kermesse racing</p>
<h4>Features:</h4>
<ul>
<li>unlimited number of colors</li>
<li>Rear Pockets</li>
<li>Available with either Performance or Endurance Chamios&nbsp;</li>
<li>4-Way&reg; stretch chamois&nbsp;</li>
<li>no extra charge for colored shorts</li>
<li>no extra charge for back panel printing</li>
<li>superb leg grippers</li>
<li>lycra colors available in black, red, blue, navy, green, gray&nbsp;and orange</li>
</ul>
<p><strong><br /></strong></p>",ChampSys,Skin Suit,"Custom, Cycling, Bottoms, Skin Suit",TRUE,Title,Default Title,,,,,,0,,1,deny,manual,179,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,
custom-distance-short-sleeve-skinsuit,,,,,,,,,,,,,,,,,,,,,,,,http://www.champ-sys.com.au/media/catalog/product/f/i/file_46_62_2.jpg,,,,,,,,,,,,,,,,,,,,,
custom-distance-short-sleeve-skinsuit,,,,,,,,,,,,,,,,,,,,,,,,http://www.champ-sys.com.au/media/catalog/product/f/i/file_46_96_2.jpg,,,,,,,,,,,,,,,,,,,,,
custom-distance-short-sleeve-skinsuit,,,,,,,,,,,,,,,,,,,,,,,,http://www.champ-sys.com.au/media/catalog/product/f/i/file_29_114_2.jpg,,,,,,,,,,,,,,,,,,,,,
custom-long-sleeve-skinsuit,Long Sleeve Skinsuit,"<h4>Features:</h4>
<ul>
<li>unlimited number of colours</li>
<li>4-Way&reg; stretch chamois </li>
<li>no extra charge for coloured shorts</li>
<li>no extra charge for back panel printing</li>
<li>no extra charge for full long sleeve artwork</li>
<li>superb leg grippers</li>
</ul>
<p><strong><br /></strong></p>",ChampSys,Skin Suit,"Custom, Cycling, Bottoms, Skin Suit",TRUE,Title,Default Title,,,,,,0,,1,deny,manual,179,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,
custom-long-sleeve-skinsuit,,,,,,,,,,,,,,,,,,,,,,,,http://www.champ-sys.com.au/media/catalog/product/f/i/file_31_2.jpg,,,,,,,,,,,,,,,,,,,,,
custom-long-sleeve-skinsuit,,,,,,,,,,,,,,,,,,,,,,,,http://www.champ-sys.com.au/media/catalog/product/f/i/file_30_9.jpg,,,,,,,,,,,,,,,,,,,,,
