Product,Url,uniqueName,Description,Price
UAE Team Emirates Performance Pro Jersey,http://www.champ-sys.com.au/retail/uaessj-30680.html,uaessj-30680,"<p><strong>Features:</strong></p><br><p>- Constructed with three fabrics, each located for a specific performance purpose.</p><br><p>o Front &amp; Rear panels: Tech premium all round fabric with advanced wicking properties and 50+ permanent UV protection.</p><br><p>o Side Panel: Tech Mesh four-way stretch fabric that moves with you.</p><br><p>o Shoulder: Lycra molds perfectly to the shape of the shoulders and arms providing a very close fit.</p><br><p>- Three rear storage pockets with slash side pockets for easy access whilst on the bike.</p><br><p>- Reinforced pocket anchor to ensure maximum storage capacity.</p><br><p>- Zippered water resistant gear pocket with a reflective strip.</p><br><p>- Lower and upper zipper garage.</p><br><p>- Silicone rear hem keeps jersey in correct position whilst riding.</p><br><p>- Soft feel, tapered collar allowing for ideal comfort.</p><br><p>- Full zipper, adapt to all conditions.</p><br><p>- Partial flatlock seams allowing additional aesthetic appeal.</p><br><p>- Traditional Champion System fit</p><br><p>- Men&apos;s and Women&apos;s cuts available</p><br><p><em>*Each item from the Champion System Ready to Ride range is hand crafted once you place your order. Lead time will be approximately 3 weeks from order date.</em></p><br><p><a href='SIZING%20INFORMATION' target='_blank'>&#xA0;</a></p>",$129.00
St George Continental Cycling Team Apex Pro Jersey,http://www.champ-sys.com.au/retail/sgccssj.html,sgccssj,"<p style='text-align: center;'><span style='color: #000000; font-size: small;'><strong>Wear the same cycling jersey as the St George Continental Cycling Team!</strong></span></p><br><p><strong>Features:</strong></p><br><p>- New anatomic, close fit cut. This jersey is designed to be a very close, body hugging fit.</p><br><p>- Constructed with two high end premium Italian fabrics, each located for a specific performance purpose.</p><br><p>o Front, Rear, Shoulder &amp; Sleeves: Elite Fabric, a soft, lightweight fabric with a high lycra content allowing a perfect fit and heightened levels of comfort</p><br><p>o Underarm, collar &amp; Side panels: Dimple Lite, a breathable tensile lightweight fabric, with high stretch, allowing a close tight fit across the body.</p><br><p>- Three rear storage pockets with slash side pockets for easy access whilst on the bike.</p><br><p>- Reinforced pocket anchor to ensure maximum storage capacity.</p><br><p>- Zippered water resistant gear pocket with a highly reflective durable strip.</p><br><p>- Wide band silicon injected front hem provides incredible support to hold the jersey firmly in place, a key factor in overall jersey comfort.</p><br><p>- Lower and upper zipper garage to provide minimal irritation in any conditions.</p><br><p>- Silicone rear hem keeps jersey in correct position whilst riding.</p><br><p>- Soft feel, tapered collar allowing for ideal comfort.</p><br><p>- A full zipper - adapt to all conditions.</p><br><p>- Men&apos;s and Women&apos;s cuts available</p><br><p>- XS-2XL size range</p><br><p><em>*Each item from the Champion System Ready to Ride range is hand crafted once you place your order. Lead time will be approximately 3 weeks from order date.</em></p>",$179.00
St George Continental Cycling Team  Performance Pro Jersey,http://www.champ-sys.com.au/retail/sgccssj-30681.html,sgccssj-30681,"<p><strong>Features:</strong></p><br><p>- Constructed with three fabrics, each located for a specific performance purpose.</p><br><p>o Front &amp; Rear panels: Tech premium all round fabric with advanced wicking properties and 50+ permanent UV protection.</p><br><p>o Side Panel: Tech Mesh four-way stretch fabric that moves with you.</p><br><p>o Shoulder: Lycra molds perfectly to the shape of the shoulders and arms providing a very close fit.</p><br><p>- Three rear storage pockets with slash side pockets for easy access whilst on the bike.</p><br><p>- Reinforced pocket anchor to ensure maximum storage capacity.</p><br><p>- Zippered water resistant gear pocket with a reflective strip.</p><br><p>- Lower and upper zipper garage.</p><br><p>- Silicone rear hem keeps jersey in correct position whilst riding.</p><br><p>- Soft feel, tapered collar allowing for ideal comfort.</p><br><p>- Full zipper, adapt to all conditions.</p><br><p>- Partial flatlock seams allowing additional aesthetic appeal.</p><br><p>- Traditional Champion System fit</p><br><p>- Men&apos;s and Women&apos;s cuts available</p><br><p><em>*Each item from the Champion System Ready to Ride range is hand crafted once you place your order. Lead time will be approximately 3 weeks from order date.</em></p>",$129.00
KITERACER Bib Shorts,http://www.champ-sys.com.au/retail/kitebs.html,kitebs,"<p><strong>APEX &#x2013; The Epitome</strong> <br>The Apex collection accepts no compromises, it&#x2019;s simply the best. Hand crafted only with the highest quality premium technical fabrics featuring market leading construction techniques. As the name represents, this collection is the epitome of performance sports apparel. Apex is specifically designed for the discerning, detail oriented athlete, who&#x2019;s looking to leave no stone unturned in their quest for top results. Featuring clean, fashionable style lines, tailored specifically for a close fit, the Apex collection is optimized for performance and function. <br><br>- Constructed with two fabrics used in specific areas to ensure maximum compression which leads to optimal comfort. The Apex bib short is a very close, tight fitting bib short. <br>o Carbon Fabric.<br>&#xF0A7; Used on the leg gripper so as to provide firm compression for the thigh area ensuring muscles remain in a stable position<br>&#xF0A7; A thin strip placed above the rear panel just under the bib assembly, that provides the bib short with stability across the back of the bib. <br>&#xF0A7; CS Carbon fabric contains thermoregulating properties, to keep muscles at optimum temperature for performance. <br>o Contour Lycra <br>&#xF0A7; High compression lycra material &#x2013; a critical requirement for a performance bib short ensuring fit and function <br>&#xF0A7; 83% Polyester, 17% Spandex fabric blend, <br>&#xF0A7; 360 g/y fabric weight <br>&#xF0A7; Used on side panels and rear panel - Lightweight and breathable bib assembly o Made from Agile &#x2013; extremely lightweight and highly breathable <br>- Exposed flatlock stitching in key areas <br>- Radio/ipod pocket for storage <br>- Double layered rear panel, providing increased structure and durability <br>- Fabric injection gripper, ensuring low irritation cuffs that stay in place in all conditions <br>- Additional leg length option available in Men&apos;s cut<br>- Men&apos;s and Women&apos;s cuts available<br>- Choice of Granfondo, Veloce or Donna Forte, Italian chamois options <br>- XS- 2XL sizing<br><br> <em>*Each item from the Champion System Ready to Ride range is hand crafted once you place your order. Lead time will be approximately 3 weeks from order date.</em><br><br><br></p><p><a href='http://www.champ-sys.com.au/size-charts-all/' target='_blank'>SIZING INFORMATION</a></p>",$199.00
Canada Jersey,http://www.champ-sys.com.au/retail/itlgfssj-30702.html,itlgfssj-30702,"<p>Wear the Canada colours with pride!</p><br><p><strong><span style='color: #ff6600;'>APEX PRO JERSEY</span></strong></p><br><p>The Apex Pro Jersey is specifically designed for the discerning, detail oriented athlete, who&#x2019;s looking to leave no stone unturned in their quest for top results.<strong><br></strong></p><br><p class='body'><strong><span style='text-decoration: underline;'><span>Features:</span></span></strong></p><br><p class='body'><span>New anatomic, close fit cut. This jersey is designed to be a very close, body hugging fit.</span></p><br><p class='body'><span>Constructed with two high end premium Italian fabrics, each located for a specific performance purpose.</span></p><br><p class='body'><span>Front, Rear, Shoulder &amp; Sleeves:<span class='apple-converted-space'>&#xA0;</span><b>Elite Fabric</b>, a soft, lightweight fabric with a high lycra content allowing a perfect fit and heightened levels of comfort</span></p><br><p class='body'><span>Underarm, collar &amp; Side panels:<span class='apple-converted-space'>&#xA0;</span><b>Dimple Lite</b>, a breathable tensile lightweight fabric, with high stretch, allowing a close tight fit across the body.</span></p><br><p class='body'><span>Three rear storage pockets with slash side pockets for easy access whilst on the bike.</span></p><br><p class='body'><span>Zippered water resistant gear pocket with a highly reflective durable strip.</span></p><br><p class='body'><span>Wide band silicon injected hem provides incredible support to hold the jersey firmly in place.</span></p><br><p><strong><span style='color: #ff6600;'>PERFORMANCE PRO JERSEY</span></strong></p><br><p><span>Engineered specifically for performance, this jersey provides something for every athlete.</span></p><br><p><strong><span>Features:</span></strong></p><br><p><span>Constructed with three fabrics, each located for a specific performance purpose.</span></p><br><p><span>Front &amp; Rear panels:<span class='apple-converted-space'>&#xA0;</span><strong>Tech premium</strong><span class='apple-converted-space'>&#xA0;</span>all round fabric with advanced wicking properties and 50+ permanent UV protection.</span></p><br><p><span>Side Panels:<span class='apple-converted-space'>&#xA0;</span><strong>Tech Mesh</strong><span class='apple-converted-space'>&#xA0;</span>four-way stretch fabric that moves with you.</span></p><br><p><span>Shoulder:<span class='apple-converted-space'><b>&#xA0;</b></span><strong>Lycra</strong><span class='apple-converted-space'>&#xA0;</span>molds perfectly to the shape of the shoulders and arms providing a very close fit.</span></p><br><p><span>Three rear storage pockets with slash side pockets for easy access whilst on the bike.</span></p><br><p>Zippered water resistant gear pocket with a highly reflective durable strip.</p><br><p>Silicone rear hem keeps jersey in correct position whilst riding.</p>",$129.00
UAE Team Emirates Apex Bib Shorts,http://www.champ-sys.com.au/retail/uaebs.html,uaebs,"<p style='text-align: center;'><span style='color: #000000; font-size: small;'><strong>Wear the same bib shorts as the UAE Team Emirates UCI Pro Team!</strong>&#xA0;</span></p><br><p><strong>Features:</strong></p><br><p style='text-align: center;'>- Constructed with two fabrics used in specific areas to ensure maximum compression which leads to optimal comfort. The Apex bib short is a very close, tight fitting bib short.</p><br><p>o Carbon Fabric.</p><br><p>&#xF0A7; Used on the leg gripper so as to provide firm compression for the thigh area ensuring muscles remain in a stable position</p><br><p>&#xF0A7; A thin strip placed above the rear panel just under the bib assembly, that provides the bib short with stability across the back of the bib.</p><br><p>&#xF0A7; CS Carbon fabric contains thermoregulating properties, to keep muscles at optimum temperature for performance.</p><br><p>o Contour Lycra</p><br><p>&#xF0A7; High compression lycra material &#x2013; a critical requirement for a performance bib short ensuring fit and function</p><br><p>&#xF0A7; 83% Polyester, 17% Spandex fabric blend,</p><br><p>&#xF0A7; 360 g/y fabric weight</p><br><p>- Lightweight and breathable bib assembly made from Agile &#x2013; extremely lightweight and highly breathable</p><br><p>- Exposed flatlock stitching in key areas</p><br><p>- Radio/ipod pocket for storage</p><br><p>- Double layered rear panel, providing increased structure and durability</p><br><p>- Fabric injection gripper, ensuring low irritation cuffs that stay in place in all conditions</p><br><p>&#xA0;</p><br><p>- Men&apos;s and Women&apos;s cuts available</p><br><p>- Additional leg length option available in Men&apos;s cut</p><br><p>- Choice of Granfondo, Veloce or Donna Forte, Italian chamois options</p><br><p>- XS- 2XL sizing</p><br><p><em>*Each item from the Champion System Ready to Ride range is hand crafted once you place your order. Lead time will be approximately 3 weeks from order date.</em></p>",$199.00
UAE Team Emirates Apex Pro Jersey,http://www.champ-sys.com.au/retail/uaessj.html,uaessj,"<p style='text-align: center;'><span style='font-size: small; color: #000000;'><strong>Wear the same cycling jersey as the UAE Team Emirates UCI Pro Team!</strong></span></p><br><p style='text-align: center;'>&#xA0;</p><br><p><strong> Features:</strong></p><br><p>- New anatomic, close fit cut. This jersey is designed to be a very close, body hugging fit.</p><br><p>- Constructed with two high end premium Italian fabrics, each located for a specific performance purpose.</p><br><p>o Front, Rear, Shoulder &amp; Sleeves: Elite Fabric, a soft, lightweight fabric with a high lycra content allowing a perfect fit and heightened levels of comfort</p><br><p>o Underarm, collar &amp; Side panels: Dimple Lite, a breathable tensile lightweight fabric, with high stretch, allowing a close tight fit across the body.</p><br><p>- Three rear storage pockets with slash side pockets for easy access whilst on the bike.</p><br><p>- Reinforced pocket anchor to ensure maximum storage capacity.</p><br><p>- Zippered water resistant gear pocket with a highly reflective durable strip.</p><br><p>- Wide band silicon injected front hem provides incredible support to hold the jersey firmly in place, a key factor in overall jersey comfort.</p><br><p>- Lower and upper zipper garage to provide minimal irritation in any conditions.</p><br><p>- Silicone rear hem keeps jersey in correct position whilst riding.</p><br><p>- Soft feel, tapered collar allowing for ideal comfort.</p><br><p>- A full zipper - adapt to all conditions.</p><br><p>- Men&apos;s and Women&apos;s cuts available</p><br><p>- XS-2XL size range</p><br><p><em>*Each item from the Champion System Ready to Ride range is hand crafted once you place your order. Lead time will be approximately 3 weeks from order date.</em></p>",$179.00
St George Continental Cycling Team Performance Bib Shorts,http://www.champ-sys.com.au/retail/uaebs-30683.html,uaebs-30683,"<p><strong>Features:</strong></p><br><p>- Constructed entirely from our premium CS Contour fabric to ensure maximum compression which leads to optimal comfort. The Performance bib short provides a close yet traditional fit.</p><br><p>o Contour Lycra</p><br><p>&#xF0A7; High compression lycra material &#x2013; a critical requirement for a performance bib short ensuring fit and function</p><br><p>&#xF0A7; 83% Polyester, 17% Spandex fabric blend, 360 g/y fabric weight</p><br><p>Lightweight and breathable bib assembly made from <b>Tech Mesh</b></p><br><p>- Radio/ipod pocket for storage</p><br><p>- Flatlock exposed stitch in key areas</p><br><p>- Double layered rear panel, providing increased structure and durability</p><br><p>- Fabric injection gripper, ensuring low irritation cuffs that stay in place in all conditions</p><br><p>- Men&apos;s and Women&apos;s cuts available</p><br><p>- Additional leg length option available </p><br><p>- Choice of Granfondo, Veloce or Donna Forte, Italian chamois options</p><br><p><em>*Each item from the Champion System Ready to Ride range is hand crafted once you place your order. Lead time will be approximately 3 weeks from order date.</em></p>",$149.00
CS PERFORMANCE Bib Short,http://www.champ-sys.com.au/retail/csperformancebibshort.html,csperformancebibshort,"<p><strong>PERFORMANCE &#x2013; The Go To<br></strong>The Performance collection is &#x201C;the go to&#x201D; collection when you are not sure what your day will bring. This range is hand crafted from a selection of premium fabrics providing all round function, whether you are training, racing or simply on the local coffee run. <strong><br><br>Features:</strong> <br>- Constructed entirely from our premium CS Contour fabric to ensure maximum compression which leads to optimal comfort. The Performance bib short provides a close yet traditional fit. <br>o Contour Lycra <br>&#xF0A7; High compression lycra material &#x2013; a critical requirement for a performance bib short ensuring fit and function <br>&#xF0A7; 83% Polyester, 17% Spandex fabric blend, 360 g/y fabric weight <br>- Lightweight and breathable bib assembly <br>o Made from Tech Mesh; extremely lightweight and highly breathable<br> - Radio/ipod pocket for storage<br> - Flatlock exposed stitch in key areas <br>- Double layered rear panel, providing increased structure and durability <br>- Fabric injection gripper, ensuring low irritation cuffs that stay in place in all conditions <br>- Additional leg length option available in Men&apos;s cut<br>- Men&apos;s and Women&apos;s cuts available<br>- Choice of Granfondo, Veloce or Donna Forte, Italian chamois options <br><br><em>*Each item from the Champion System Ready to Ride range is hand crafted once you place your order. Lead time will be approximately 3 weeks from order date.</em></p><br>",$149.00
DNA Bib Shorts,http://www.champ-sys.com.au/retail/dnabs.html,dnabs,"<p><strong>APEX &#x2013; The Epitome</strong> <br>The Apex collection accepts no compromises, it&#x2019;s simply the best. Hand crafted only with the highest quality premium technical fabrics featuring market leading construction techniques. As the name represents, this collection is the epitome of performance sports apparel. Apex is specifically designed for the discerning, detail oriented athlete, who&#x2019;s looking to leave no stone unturned in their quest for top results. Featuring clean, fashionable style lines, tailored specifically for a close fit, the Apex collection is optimized for performance and function. <br><br>- Constructed with two fabrics used in specific areas to ensure maximum compression which leads to optimal comfort. The Apex bib short is a very close, tight fitting bib short. <br>o Carbon Fabric.<br>&#xF0A7; Used on the leg gripper so as to provide firm compression for the thigh area ensuring muscles remain in a stable position<br>&#xF0A7; A thin strip placed above the rear panel just under the bib assembly, that provides the bib short with stability across the back of the bib. <br>&#xF0A7; CS Carbon fabric contains thermoregulating properties, to keep muscles at optimum temperature for performance. <br>o Contour Lycra <br>&#xF0A7; High compression lycra material &#x2013; a critical requirement for a performance bib short ensuring fit and function <br>&#xF0A7; 83% Polyester, 17% Spandex fabric blend, <br>&#xF0A7; 360 g/y fabric weight <br>&#xF0A7; Used on side panels and rear panel - Lightweight and breathable bib assembly o Made from Agile &#x2013; extremely lightweight and highly breathable <br>- Exposed flatlock stitching in key areas <br>- Radio/ipod pocket for storage <br>- Double layered rear panel, providing increased structure and durability <br>- Fabric injection gripper, ensuring low irritation cuffs that stay in place in all conditions <br>- Additional leg length option available in Men&apos;s cut<br>- Men&apos;s and Women&apos;s cuts available<br>- Choice of Granfondo, Veloce or Donna Forte, Italian chamois options <br>- XS- 2XL sizing<br><br> <em>*Each item from the Champion System Ready to Ride range is hand crafted once you place your order. Lead time will be approximately 3 weeks from order date.</em><br><br><br></p><p><a href='http://www.champ-sys.com.au/size-charts-all/' target='_blank'>SIZING INFORMATION</a></p>",$199.00
