"SSE - Muscle Guard Compression Tights",http://champ-sys.com/sse-muscle-guard-compression-tights.html,sse-muscle-guard-compression-tights,"<p>The Muscle Guard Tech Tights support the hips, back and lower abdominals to stabilize the core and knees, while providing targeted support to the hip flexors, hamstrings, quadriceps, and calves to further stabilize the knee joints. These provide addtional 4-Way Stretch support as well as moisture wicking.</p>","Please allow 3-4 weeks for delivery upon the date of purchase",$100.80
"SSE  - Tech Polo Shirt",http://champ-sys.com/sse-tech-polo-shirt.html,sse-tech-polo-shirt,"<p>Made from a technical polyester wicking fabric the tech top is perfect to slip on after a race or for every day use.</p>","Please allow 3-4 weeks for delivery upon the date of purchase",$51.60
"Team Chocolate Milk Women&apos;s Bella Racerback Singlet",http://champ-sys.com/team-chocolate-milk-women-s-bella-racerback-singlet.html,team-chocolate-milk-women-s-bella-racerback-singlet,"<p>Racerback design made with lightweight moisture wicking fabric make this performance singlet ideal for training and competition. Made from our exclusive CS Tech Lite fabric, the Bella Racerback Singlet can be fully printed with your designs and logos.</p><p>Bella items have a more feminine cut than our standard women&#x2019;s apparel and size just slightly smaller. If you find yourself in between sizes, we recommend that you size up for your Bella apparel.</p><ul><li>CS Tech Lite fabric</li><li>Lightweight and moisture wicking</li><li>Tagless</li><li>Great for running, hiking, yoga, and more</li></ul>","",$43.50
"Team Chocolate Milk Apex Men&apos;s Marathon Running Singlet",http://champ-sys.com/team-chocolate-milk-apex-men-s-marathon-running-singlet.html,team-chocolate-milk-apex-men-s-marathon-running-singlet,"<p>Incredibly lightweight and breathable, made from our exclusive Champion System CS Helium fabric the Apex Marathon Singlet is the ideal choice for training and competitions. With a loose fit, scoop&#x2013;neck design this running essential will deliver the performance and comfort you demand.</p> <ul> <li>Constructed from CS Helium fabric</li> <li>100% permanent UV protection yarn able to reach UPF50+</li> <li>No annoying label tags at the neck</li> <li>Fully customizable</li>  </ul>","",$48.00
"SSE  - Technical Performance Short Sleeve Top - White",http://champ-sys.com/sse-technical-performance-short-sleeve-top-white.html,sse-technical-performance-short-sleeve-top-white,"<p>Made from a technical polyester wicking fabric the tech top is perfect to slip on after a race or for every day use.</p>","Please allow 3-4 weeks for delivery upon the date of purchase",$43.60
"RRCA - Women Specific Apex Run Singlet",http://champ-sys.com/rrca-women-specific-apex-run-singlet.html,rrca-women-specific-apex-run-singlet,"","Please allow 3-4 weeks for delivery upon the date of purchase",$55.00
"RRCA - Men&apos;s Apex Marathon Singlet",http://champ-sys.com/rrca-men-s-apex-marathon-singlet.html,rrca-men-s-apex-marathon-singlet,"","Please allow 3-4 weeks for delivery upon the date of purchase",$55.00
"RRCA - Performance Winter Mock Turtleneck",http://champ-sys.com/rrca-performance-winter-mock-turtleneck.html,rrca-performance-winter-mock-turtleneck,"","Please allow 3-4 weeks for delivery upon the date of purchase",$85.00
"Team Chocolate Milk Performance Classic Tri Suit",http://champ-sys.com/team-chocolate-milk-performance-classic-tri-suit.html,team-chocolate-milk-performance-classic-tri-suit,"<p>The Performance Classic tri suit offers an incredible value in an entry-level suit. One-piece tri suits are a must for serious triathletes and the Performance tri suit delivers the comfort and styling you demand. Available in men&apos;s and women&apos;s fits.</p> <p><strong>Features</strong>:</p> <ul>    <li>Based on our classic CS Classic Tri Suit</li>     <li>Hidden Front Zipper</li><li>Available with front or rear zipper at no extra charge</li><li>Rear Pockets Available for additional $10</li>     <li><a href='http://champ-sys.com/chamois-charts' target='_blank'>Learn more</a> about our Tri Specific Chamois</li> </ul>","",$123.70
"SSE - Windguard Fleece Casual Jacket",http://champ-sys.com/sse-windguard-fleece-casual-jacket.html,sse-windguard-fleece-casual-jacket,"<p>Made from our <a href='/fabrics' target='_blank'>CS Tech Fleece</a> and <a href='/fabrics' 'target='_blank'>CS Windguard</a> fabric and features a mesh liner, high collar, a full-length concealed zipper, and two zippered front slash pockets.&#xA0;Available in both men&apos;s and women&apos;s cuts.</p>","Please allow 3-4 weeks for delivery upon the date of purchase",$112.30
"Team Chocolate Milk MEN&apos;s Performance Lite Run Singlet",http://champ-sys.com/team-chocolate-milk-men-s-performance-lite-run-singlet.html,team-chocolate-milk-men-s-performance-lite-run-singlet,"<p>A cut above the rest! A classic sleeveless design that is perfect for training and competition. The Champion System Performance Lite Run Singlet is designed to maximize your workout by keeping you dry and comfortable. Made from our exclusive&#xA0;<a href='http://www.champ-sys.com/fabrics' target='_blank'><b>Tech Lite fabric</b></a>&#xA0;, the run singlet is lightweight, soft and breathable. Moisture management built into the fabric helps to keep you cool and dry while the action heats up. Permanent UV Protection.</p><br><ul><li>Made from Tech Lite Fabric</li><li>Permanent UV protection</li><li>Great for clubs, events, corporate teams and more</li></ul>","",$30.00
